Sequence,Date
10-18-31-34-38-42,13-Apr-2024
1-9-14-16-18-42,15-Apr-2024
1-10-12-19-22-36,17-Apr-2024
6-10-23-24-35-41,20-Apr-2024
5-9-11-17-21-33,22-Apr-2024
16-17-18-19-30-48,24-Apr-2024
16-33-36-37-39-47,27-Apr-2024
2-13-23-29-37-39,29-Apr-2024
8-14-33-41-42-48,1-May-2024
5-10-22-45-47-48,4-May-2024
6-9-15-16-27-35,6-May-2024
12-28-34-36-39-49,8-May-2024
5-6-23-29-36-47,11-May-2024
10-12-18-40-41-45,13-May-2024
23-24-31-38-42-49,15-May-2024
1-5-13-14-26-35,18-May-2024
1-9-11-16-35-40,20-May-2024
2-16-23-33-34-38,22-May-2024
1-14-16-21-33-34,25-May-2024
2-3-18-22-33-49,27-May-2024
7-15-21-23-36-44,29-May-2024
3-12-19-21-34-44,1-Jun-2024
1-16-17-23-33-34,3-Jun-2024
20-35-39-42-44-47,5-Jun-2024
3-16-32-36-39-43,8-Jun-2024
1-9-13-15-20-28,10-Jun-2024
16-24-28-33-37-39,12-Jun-2024
2-7-8-10-23-26,15-Jun-2024
9-13-16-40-47-48,17-Jun-2024
9-14-17-20-38-39,19-Jun-2024
11-18-26-33-38-46,22-Jun-2024
5-12-19-30-32-48,24-Jun-2024
3-6-8-13-30-40,26-Jun-2024
1-13-14-31-45-49,29-Jun-2024
15-16-27-39-40-45,1-Jul-2024
15-21-31-35-43-49,3-Jul-2024
3-4-24-30-33-34,6-Jul-2024
11-15-26-42-45-49,8-Jul-2024
9-21-27-36-45-46,10-Jul-2024
3-5-26-27-41-43,13-Jul-2024
8-24-31-33-42-44,15-Jul-2024
15-27-30-37-38-42,17-Jul-2024
8-27-33-34-41-42,20-Jul-2024
4-6-18-34-41-45,22-Jul-2024
5-9-14-27-31-38,24-Jul-2024
3-7-16-19-28-34,27-Jul-2024
1-4-6-7-32-33,29-Jul-2024
7-31-32-33-38-43,31-Jul-2024
6-11-12-28-40-43,3-Aug-2024
8-12-22-24-43-48,5-Aug-2024
1-8-16-21-36-46,7-Aug-2024
5-18-21-37-38-47,10-Aug-2024
4-25-34-33-36-45,12-Aug-2024
7-13-17-21-39-49,14-Aug-2024
6-9-14-27-29-48,17-Aug-2024
5-18-25-27-34-35,19-Aug-2024
6-7-15-17-19-30,21-Aug-2024
3-5-8-10-30-41,24-Aug-2024
6-7-28-37-43-44,26-Aug-2024
13-20-24-25-37-38,28-Aug-2024
16-21-28-31-40-45,31-Aug-2024
9-31-36-41-47-48,2-Sep-2024
3-11-25-27-36-43,4-Sep-2024
2-5-6-24-32-36,7-Sep-2024
5-25-34-37-47-49,9-Sep-2024
2-10-19-36-38-49,11-Sep-2024
5-9-16-24-38-44,14-Sep-2024
1-6-17-24-28-40,16-Sep-2024
2-12-21-32-33-49,18-Sep-2024
2-13-21-42-43-49,21-Sep-2024
2-5-15-23-36-44,23-Sep-2024
15-16-18-19-33-49,25-Sep-2024
3-9-15-18-29-32,28-Sep-2024
2-6-12-22-36-38,30-Sep-2024
3-20-23-30-34-47,2-Oct-2024
6-7-8-11-17-36,5-Oct-2024
2-18-19-27-28-42,7-Oct-2024
2-5-9-15-25-28,9-Oct-2024
16-18-33-42-43-48,12-Oct-2024
18-20-23-27-38-42,14-Oct-2024
6-14-15-16-19-49,16-Oct-2024
3-12-14-19-26-44,19-Oct-2024
7-13-16-17-27-31,21-Oct-2024
11-13-16-39-41-46,23-Oct-2024
8-12-14-18-29-42,26-Oct-2024
4-16-23-39-40-45,28-Oct-2024
1-2-6-18-38-43,30-Oct-2024
1-13-17-25-33-43,2-Nov-2024
7-17-24-30-31-43,4-Nov-2024
10-16-21-22-24-47,6-Nov-2024
18-21-32-35-39-43,9-Nov-2024
8-13-19-25-27-49,11-Nov-2024
3-31-32-42-45-49,13-Nov-2024
9-10-33-34-36-41,16-Nov-2024
7-9-11-12-23-24,18-Nov-2024
7-10-21-22-40-47,20-Nov-2024
1-3-6-26-27-31,23-Nov-2024
2-10-15-29-38-41,25-Nov-2024
6-8-31-42-44-46,27-Nov-2024
2-18-20-34-45-48,30-Nov-2024
1-6-7-19-46-47,2-Dec-2024
1-16-20-25-33-40,4-Dec-2024
3-17-20-29-40-45,7-Dec-2024
23-26-28-33-36-40,9-Dec-2024
10-21-23-24-33-49,11-Dec-2024
4-5-8-14-25-38,14-Dec-2024
11-19-22-26-31-32,16-Dec-2024
2-10-23-29-32-48,18-Dec-2024
2-4-7-20-27-41,21-Dec-2024
4-6-8-22-28-47,23-Dec-2024
4-5-8-14-17-31,25-Dec-2024
2-19-22-28-30-31,28-Dec-2024
9-15-35-43-45-49,30-Dec-2024
,
,
5-9-23-25-37-44,1-Jan-2025
10-15-21-24-37-48,4-Jan-2025
12-23-25-32-35-48,6-Jan-2025
5-6-17-19-38-40,8-Jan-2025
4-20-21-25-36-41,11-Jan-2025
3-6-27-31-34-44,13-Jan-2025
5-10-18-26-34-48,15-Jan-2025
1-18-24-31-35-47,18-Jan-2025
11-15-18-34-42-47,20-Jan-2025
5-13-16-21-29-42,22-Jan-2025
7-31-32-34-40-42,25-Jan-2025
16-21-22-23-34-37,27-Jan-2025
7-13-24-26-35-41,29-Jan-2025
4-13-25-30-48-49,1-Feb-2025
3-29-31-34-41-42,3-Feb-2025
5-18-25-26-27-30,5-Feb-2025
22-24-27-35-37-46,8-Feb-2025
2-25-29-30-39-40,10-Feb-2025
6-7-11-18-24-48,12-Feb-2025
11-13-18-19-44-49,15-Feb-2025
1-7-12-19-25-44,17-Feb-2025
17-20-32-37-40-43,19-Feb-2025
8-10-11-14-31-44,22-Feb-2025
4-16-23-32-43-44,24-Feb-2025
6-18-20-22-23-32,26-Feb-2025
3-7-15-18-24-41,1-Mar-2025
9-17-20-37-45-49,3-Mar-2025
17-18-25-26-34-35,5-Mar-2025
8-11-19-38-39-47,8-Mar-2025
12-17-21-26-30-42,10-Mar-2025
9-20-21-32-38-44,12-Mar-2025
2-23-30-40-42-43,15-Mar-2025
8-13-19-26-37-39,17-Mar-2025
4-11-12-28-29-43,19-Mar-2025
6-8-11-20-45-49,22-Mar-2025
20-23-35-37-43-44,24-Mar-2025
11-26-32-33-41-48,26-Mar-2025
2-8-21-23-30-45,29-Mar-2025
5-7-12-16-30-40,31-Mar-2025
9-16-23-26-37-44,2-Apr-2025
18-29-32-43-44-47,5-Apr-2025
8-12-21-24-35-44,7-Apr-2025
11-12-20-42-47-49,9-Apr-2025
12-13-29-37-46-49,12-Apr-2025
3-15-23-27-36-39,14-Apr-2025
14-21-24-26-28-37,16-Apr-2025
3-13-20-24-25-45,19-Apr-2025
5-11-14-29-34-41,21-Apr-2025
4-5-18-34-35-49,23-Apr-2025
4-18-32-34-40-44,26-Apr-2025
3-6-15-18-34-37,28-Apr-2025
23-34-39-43-47-49,30-Apr-2025
11-29-31-37-41-48,3-May-2025
4-15-16-33-44-48,5-May-2025
4-6-12-16-26-29,7-May-2025
4-7-11-23-27-36,10-May-2025
6-8-11-15-30-39,12-May-2025
6-7-8-18-38-45,14-May-2025
6-9-19-23-29-38,17-May-2025
9-11-31-41-44-45,19-May-2025
3-7-8-21-28-43,21-May-2025
6-10-23-29-40-49,24-May-2025
9-10-14-30-39-45,26-May-2025
8-21-26-31-36-49,28-May-2025
2-8-11-16-31-47,31-May-2025
1-4-10-23-32-48,2-Jun-2025
10-15-25-27-40-45,4-Jun-2025
5-30-36-38-40-47,7-Jun-2025
8-10-25-33-40-42,9-Jun-2025
8-16-18-42-48-49,11-Jun-2025
7-10-12-20-29-45,14-Jun-2025
5-15-26-32-35-48,16-Jun-2025
4-12-14-39-40-45,18-Jun-2025
4-11-12-30-38-42,21-Jun-2025
6-15-21-24-37-43,23-Jun-2025
6-10-27-33-36-43,25-Jun-2025
20-29-32-37-39-49,28-Jun-2025
9-11-12-15-17-34,30-Jun-2025
3-8-10-23-30-48,2-Jul-2025
11-19-22-39-43-47,5-Jul-2025
1-8-9-15-34-39,7-Jul-2025
13-19-20-25-33-48,9-Jul-2025
13-14-21-28-37-49,12-Jul-2025
4-16-22-25-41-44,14-Jul-2025
3-11-13-16-19-21,16-Jul-2025
7-19-25-37-47-49,19-Jul-2025
2-6-20-33-40-49,21-Jul-2025
1-5-29-41-43-49,23-Jul-2025
2-4-28-31-36-43,26-Jul-2025
9-22-25-27-32-36,28-Jul-2025
5-7-15-25-42-47,30-Jul-2025
6-16-21-23-42-48,2-Aug-2025
7-14-21-38-45-46,4-Aug-2025
6-8-26-38-46-49,6-Aug-2025
9-18-19-21-22-34,9-Aug-2025
5-17-18-23-33-42,11-Aug-2025
2-16-25-35-42-43,13-Aug-2025
4-8-13-16-33-37,16-Aug-2025
12-26-36-37-40-48,18-Aug-2025
5-11-12-19-33-47,20-Aug-2025
3-8-21-26-31-47,23-Aug-2025
11-23-24-28-43-47,25-Aug-2025
1-27-31-39-42-49,27-Aug-2025
3-6-14-31-32-48,30-Aug-2025
